judul,harga,lokasi,kamar_tidur,kamar_mandi,luas_tanah,luas_bangunan,jumlah_garasi,daya_watt,jumlah_lantai,sertifikat_Hak_Pakai,sertifikat_Lainnya,sertifikat_PPJB,sertifikat_SHM,kota_Batu,kota_Gresik,kota_Jember,kota_Kediri,kota_Lumajang,kota_Madiun,kota_Malang,kota_Mojokerto,kota_Nganjuk,kota_Pamekasan,kota_Pasuruan,kota_Probolinggo,kota_Sidoarjo,kota_Situbondo,kota_Surabaya,kota_Trenggalek,kota_Tuban,kota_Tulungagung,kota_original,sertifikat_rumah_original
Dijual Rumah Kuno Belanda Terawat Daerah Gunung2 Dekat Ijen Murah,12000000000,"Malang Kota, Malang",5,3,784,500,4,2200,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
citraland,3700000000,"Citraland, Surabaya",4,3,200,280,2,3300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Jual Rumah Mewah Full Marmer Surabaya Selatan,12200000000,"Margorejo, Surabaya",4,3,505,510,2,13200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Modern Angsuran Murah Surabaya Barat,795000000,"Citraland, Surabaya",3,2,55,65,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Rumah Dijual Malang Kota Dekat Dieng, Tidar, Bandulan",500000000,"Malang Kota, Malang",2,1,72,50,1,1300,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
"Rumah Bagus Siap Huni Manyar Tirtoyoso Dekat Manyar Indah, Manyar Kartika, Manyar Jaya, Manyar Tirtomoyo, Manyar Tirtoasri, Manyar Tompotika, Manyar Rejo, Klampis Wisma Mukti",2300000000,"Manyar, Surabaya",3,2,136,221,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Minimalis Modern Medokan Ayu Tambak Surabaya,1550000000,"Rungkut, Surabaya",4,3,150,220,1,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Jual Murah Rumah 1,5 Lantai Di Perumahan Mewah Menganti",800000000,"Menganti, Gresik",2,1,90,120,1,2200,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gresik,SHM
Dijual Rumah Tirtasani Malang Semi Furnished,1350000000,"Karangploso, Malang",3,2,180,95,2,4400,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Perumahan Mojokerto Elit Pusat Kota Subsidi Viral Terlaris,166000000,"Sooko, Mojokerto",2,1,66,27,1,1300,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mojokerto,HGB
"Paling Murah Rumah Kolonial Belanda Jalan Tangkuban Perahu Malang,terawat,shm",12000000000,"Gunung-gunung, Malang",5,3,784,500,1,2200,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Rumah Mininalis Siap Huni Tpr Citraland  Surabaya Barat,3500000000,"Sambikerep, Surabaya",4,3,150,200,2,2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
RUMAH VINTAGE TERAWAT DAERAH IJEN BOULEVARD KLOJEN MALANG,42000000000,"Klojen, Malang",8,4,900,500,2,2200,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Royal Residence Cluster Serenade 3 Lantai Furnish Jual Cepat Murah,1290000000,"Wiyung, Surabaya",3,2,50,100,1,3500,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Bagus Semi Furnished Araya Malang,1750000000,"Araya, Malang",3,2,172,150,1,3500,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Dijual Via Lelang Rumah Wisata Bukit Mas II Termurah,3700000000,"Wiyung, Surabaya",4,3,332,423,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Via Lelang Rumah Hook Grand Delta Sari Anthurium,531000000,"Waru, Sidoarjo",2,1,133,57,2,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Via Lelang Rumah 2 Lantai Lokasi Citraland International Village Surabaya,2530000000,"Citraland, Surabaya",4,2,210,300,2,4400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
"[jual] Rumah 2 Lt Gresik Kota, Lokasi Strategis, Baru Renovasi",1400000000,"Gresik, Gresik",3,2,100,200,1,2200,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gresik,SHM
Jual Rumah Citraland Bukitpalma Surabaya Barat,1020000000,"Surabaya Kota, Surabaya",3,2,72,100,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Jual Rumah Shm Baru Bagus Alam Hijau Citraland Surabaya,6850000000,"Citraland, Surabaya",4,3,210,450,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Graha Family Golf View Lengkap Dengan Pool,43500000000,"Wiyung, Surabaya",5,5,900,850,2,10600,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Lantai 300 Jutaan Lokasi Rungkut,450000000,"Rungkut, Surabaya",2,1,35,36,1,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Jual Cepat Rumah Graha Family Blok A,7900000000,"Graha, Surabaya",5,4,375,525,1,6600,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Termurah Di Kelasnya Royal Residence Dkt Graha Family 6,5 M Nego",6500000000,"Wiyung, Surabaya",5,4,375,450,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Terawat Dekat Plaza Hotel Sekolah Di Jalan Utama Araya,3000000000,"Araya, Malang",3,2,264,160,1,2200,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Rumah Mewah & Prestisius di Jalan Raya Kembar Puncak Permai,16000000000,"Sukomanunggal, Surabaya",4,4,800,1000,2,23000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Super Muraah!! Furnished!! Jual Cepaat!! Royal Residence Surabaya,2550000000,"Wiyung, Surabaya",3,2,144,195,1,5500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Rumah Minimalis Di Citra Garden Park Hill, Kedungkandang Malang",1500000000,"Kedungkandang, Malang",3,2,96,60,1,2200,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
"Rumah Mewah Klasik Di Perumahan Elit Araya Blimbing, Kota Malang",7250000000,"Araya, Malang",7,7,540,600,1,5500,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
